Gene	ModuleAssignment	ModuleColor	Blocks	kWithin-weighted	kWithin-unweighted	HubGenes
ENSG00000257935	6	red	1	145.330774339193	702.27336801778	 
ENSG00000257938	2	blue	2	282.657617911791	1863.09938999978	 
ENSG00000257941	9	magenta	2	23.8653482090049	239.395258947472	 
ENSG00000257943	45	darkorange2	2	59.8976198732274	85.4560418980005	hub10;hub5
ENSG00000257947	14	cyan	1	194.297300748924	304.523629651776	 
ENSG00000257948	83	navajowhite1	2	36.8925428637769	44.7847663147415	hub10;hub5
ENSG00000257949	2	blue	1	945.99075255663	2745.5853233347	 
ENSG00000257950	9	magenta	2	47.9215126865016	281.286478939083	 
ENSG00000257951	1	turquoise	3	3525.6410797747	5455.47165402603	 
ENSG00000257953	3	brown	1	671.885744700473	2207.23156516921	 
ENSG00000257954	9	magenta	2	66.1235641012508	366.89547534503	 
ENSG00000257956	2	blue	1	670.910676975829	2517.04848553543	 
ENSG00000257957	3	brown	1	72.0216252221268	952.654888266979	 
ENSG00000257958	1	turquoise	3	4130.60476664813	5739.78049769851	 
ENSG00000257959	11	greenyellow	1	203.502815449444	330.428585336037	hub10;hub5
ENSG00000257960	85	lightpink3	2	33.8347720109518	41.4317513252508	hub10;hub5
ENSG00000257964	0	grey	1	12.7218401879298	330.825108309187	 
ENSG00000257966	1	turquoise	3	2818.32851432867	5056.78079008868	 
ENSG00000257970	12	tan	1	25.1083074577387	158.728825528384	 
ENSG00000257971	1	turquoise	3	432.742704984414	2648.66389287429	 
ENSG00000257973	4	yellow	2	124.354055266146	970.358030866048	 
ENSG00000257976	0	grey	1	28.770360722913	416.465283890333	 
ENSG00000257979	25	orange	3	7.57532824986095	62.6186739665082	 
ENSG00000257985	1	turquoise	3	3807.21127219295	5579.25533974747	 
ENSG00000257987	1	turquoise	3	1110.41813578377	3677.89434133819	 
ENSG00000257989	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000257990	79	thistle3	2	30.1396438505409	43.1654866222272	hub10;hub5
ENSG00000257991	0	grey	2	10.9451164855981	313.46349159309	 
ENSG00000257994	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000257995	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000257997	23	darkturquoise	2	165.964586959421	213.10949683925	hub10;hub5
ENSG00000257999	0	grey	1	17.8706982830569	380.554741890402	 
ENSG00000258001	4	yellow	2	72.6941538190683	878.738242992048	 
ENSG00000258007	33	darkolivegreen	2	44.7484338311722	101.420560345877	 
ENSG00000258010	0	grey	2	13.1474089324501	329.014594194334	 
ENSG00000258011	4	yellow	2	253.764694859222	1242.97417076191	 
ENSG00000258012	22	darkgreen	1	44.1711696760754	133.412606367461	 
ENSG00000258013	63	mediumorchid	1	34.1777874273255	54.8176832914236	 
ENSG00000258016	4	yellow	2	698.370139156136	1963.39505115604	 
ENSG00000258017	2	blue	1	1841.5909598758	3562.31713167097	hub10
ENSG00000258018	4	yellow	2	176.276953926364	1184.69131967193	 
ENSG00000258021	3	brown	1	1147.15451345385	2655.55386644983	 
ENSG00000258024	1	turquoise	3	676.421510548919	3102.25214577483	 
ENSG00000258026	58	honeydew1	2	19.2694340525876	47.2673174883054	 
ENSG00000258027	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258028	0	grey	2	5.67306310141254	252.783709223967	 
ENSG00000258033	2	blue	1	1643.11150542846	3313.66474072908	 
ENSG00000258034	4	yellow	2	684.25306789163	1942.33143062977	 
ENSG00000258035	15	midnightblue	3	47.704307637426	174.44080923092	 
ENSG00000258036	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258038	20	royalblue	2	8.8112118936994	84.4528468846318	 
ENSG00000258039	11	greenyellow	1	51.9745894969194	208.648756780976	 
ENSG00000258040	11	greenyellow	1	158.271789839989	303.726922957973	 
ENSG00000258044	1	turquoise	3	1572.32677287291	4168.4161048585	 
ENSG00000258048	2	blue	1	1342.14511389883	3104.86689603561	 
ENSG00000258050	0	grey	3	8.03056721496009	286.105052755822	 
ENSG00000258051	12	tan	1	58.0320828536568	206.601804045782	 
ENSG00000258052	4	yellow	2	97.7709301219802	972.982095071105	 
ENSG00000258053	55	maroon	2	11.7705540482454	42.9306182494996	 
ENSG00000258056	3	brown	1	211.84660990696	1411.60581119541	 
ENSG00000258057	3	brown	1	223.319414795442	1376.85870989188	 
ENSG00000258064	3	brown	1	264.833685094847	1498.89718079198	 
